"country_code","postal_code","place_name","admin_name1","admin_code1","admin_name2","admin_code2","admin_name3","admin_code3","latitude","longitude","accuracy","id","location"
"AU","0200","Australian National University","Australian Capital Territory","ACT","CANBERRA","","","","-35.2777","149.1189","1","QVUtQUNULUF1c3RyYWxpYW4gTmF0aW9uYWwgVW5pdmVyc2l0eS0wMjAw","{  ""coordinates"": [    149.1189,    -35.2777  ],  ""type"": ""point""}"
"AU","0221","Barton","Australian Capital Territory","ACT","","","","","-35.3049","149.1412","4","QVUtQUNULUJhcnRvbi0wMjIx","{  ""coordinates"": [    149.1412,    -35.3049  ],  ""type"": ""point""}"
"AU","2540","Jervis Bay","Australian Capital Territory","ACT","NEW CNTRY WEST","","","","-35.1499","150.6969","4","QVUtQUNULUplcnZpcyBCYXktMjU0MA==","{  ""coordinates"": [    150.6969,    -35.1499  ],  ""type"": ""point""}"
"AU","2540","Wreck Bay","Australian Capital Territory","ACT","","","","","-35.1648","150.6908","4","QVUtQUNULVdyZWNrIEJheS0yNTQw","{  ""coordinates"": [    150.6908,    -35.1648  ],  ""type"": ""point""}"
"AU","2540","Hmas Creswell","Australian Capital Territory","ACT","NEW CNTRY WEST","","","","-35.028","150.5501","3","QVUtQUNULUhtYXMgQ3Jlc3dlbGwtMjU0MA==","{  ""coordinates"": [    150.5501,    -35.028  ],  ""type"": ""point""}"
"AU","2600","Barton","Australian Capital Territory","ACT","CANBERRA","","","","-35.3093","149.1356","4","QVUtQUNULUJhcnRvbi0yNjAw","{  ""coordinates"": [    149.1356,    -35.3093  ],  ""type"": ""point""}"
"AU","2600","Russell","Australian Capital Territory","ACT","CANBERRA","","","","-35.2991","149.1515","4","QVUtQUNULVJ1c3NlbGwtMjYwMA==","{  ""coordinates"": [    149.1515,    -35.2991  ],  ""type"": ""point""}"
"AU","2600","Canberra","Australian Capital Territory","ACT","CANBERRA","","","","-35.2835","149.1281","4","QVUtQUNULUNhbmJlcnJhLTI2MDA=","{  ""coordinates"": [    149.1281,    -35.2835  ],  ""type"": ""point""}"
"AU","2600","Yarralumla","Australian Capital Territory","ACT","CANBERRA","","","","-35.3072","149.1021","4","QVUtQUNULVlhcnJhbHVtbGEtMjYwMA==","{  ""coordinates"": [    149.1021,    -35.3072  ],  ""type"": ""point""}"
"AU","2600","Harman","Australian Capital Territory","ACT","CANBERRA","","","","-35.35","149.2","4","QVUtQUNULUhhcm1hbi0yNjAw","{  ""coordinates"": [    149.2,    -35.35  ],  ""type"": ""point""}"
"AU","2600","Duntroon","Australian Capital Territory","ACT","CANBERRA","","","","-35.3","149.1667","4","QVUtQUNULUR1bnRyb29uLTI2MDA=","{  ""coordinates"": [    149.1667,    -35.3  ],  ""type"": ""point""}"
"AU","2600","Capital Hill","Australian Capital Territory","ACT","","","","","-35.3067","149.1258","4","QVUtQUNULUNhcGl0YWwgSGlsbC0yNjAw","{  ""coordinates"": [    149.1258,    -35.3067  ],  ""type"": ""point""}"
"AU","2600","Deakin","Australian Capital Territory","ACT","CANBERRA","","","","-35.3179","149.1029","4","QVUtQUNULURlYWtpbi0yNjAw","{  ""coordinates"": [    149.1029,    -35.3179  ],  ""type"": ""point""}"
"AU","2600","Deakin West","Australian Capital Territory","ACT","CANBERRA","","","","-35.3126","149.1278","3","QVUtQUNULURlYWtpbiBXZXN0LTI2MDA=","{  ""coordinates"": [    149.1278,    -35.3126  ],  ""type"": ""point""}"
"AU","2600","Parkes","Australian Capital Territory","ACT","CANBERRA","","","","-35.2971","149.1316","4","QVUtQUNULVBhcmtlcy0yNjAw","{  ""coordinates"": [    149.1316,    -35.2971  ],  ""type"": ""point""}"
"AU","2600","Parliament House","Australian Capital Territory","ACT","CANBERRA","","","","-35.3126","149.1278","3","QVUtQUNULVBhcmxpYW1lbnQgSG91c2UtMjYwMA==","{  ""coordinates"": [    149.1278,    -35.3126  ],  ""type"": ""point""}"
"AU","2600","Hmas Harman","Australian Capital Territory","ACT","","","","","-35.31","149.1385","3","QVUtQUNULUhtYXMgSGFybWFuLTI2MDA=","{  ""coordinates"": [    149.1385,    -35.31  ],  ""type"": ""point""}"
"AU","2601","Canberra","Australian Capital Territory","ACT","CANBERRA","","","","-35.2835","149.1281","4","QVUtQUNULUNhbmJlcnJhLTI2MDE=","{  ""coordinates"": [    149.1281,    -35.2835  ],  ""type"": ""point""}"
"AU","2601","Acton","Australian Capital Territory","ACT","CANBERRA","","","","-35.2816","149.1189","4","QVUtQUNULUFjdG9uLTI2MDE=","{  ""coordinates"": [    149.1189,    -35.2816  ],  ""type"": ""point""}"
"AU","2601","Black Mountain","Australian Capital Territory","ACT","CANBERRA","","","","-35.2772","149.1054","3","QVUtQUNULUJsYWNrIE1vdW50YWluLTI2MDE=","{  ""coordinates"": [    149.1054,    -35.2772  ],  ""type"": ""point""}"
"AU","2601","City","Australian Capital Territory","ACT","CANBERRA","","","","-35.2812","149.1292","4","QVUtQUNULUNpdHktMjYwMQ==","{  ""coordinates"": [    149.1292,    -35.2812  ],  ""type"": ""point""}"
"AU","2602","Dickson","Australian Capital Territory","ACT","CANBERRA","","","","-35.2537","149.1383","4","QVUtQUNULURpY2tzb24tMjYwMg==","{  ""coordinates"": [    149.1383,    -35.2537  ],  ""type"": ""point""}"
"AU","2602","Ainslie","Australian Capital Territory","ACT","CANBERRA","","","","-35.2619","149.1466","4","QVUtQUNULUFpbnNsaWUtMjYwMg==","{  ""coordinates"": [    149.1466,    -35.2619  ],  ""type"": ""point""}"
"AU","2602","Hackett","Australian Capital Territory","ACT","CANBERRA","","","","-35.2486","149.163","4","QVUtQUNULUhhY2tldHQtMjYwMg==","{  ""coordinates"": [    149.163,    -35.2486  ],  ""type"": ""point""}"
"AU","2602","Watson","Australian Capital Territory","ACT","CANBERRA","","","","-35.2344","149.1577","4","QVUtQUNULVdhdHNvbi0yNjAy","{  ""coordinates"": [    149.1577,    -35.2344  ],  ""type"": ""point""}"
"AU","2602","Lyneham","Australian Capital Territory","ACT","CANBERRA","","","","-35.2478","149.1271","4","QVUtQUNULUx5bmVoYW0tMjYwMg==","{  ""coordinates"": [    149.1271,    -35.2478  ],  ""type"": ""point""}"
"AU","2602","O'Connor","Australian Capital Territory","ACT","CANBERRA","","","","-35.2584","149.1202","4","QVUtQUNULU8nQ29ubm9yLTI2MDI=","{  ""coordinates"": [    149.1202,    -35.2584  ],  ""type"": ""point""}"
"AU","2602","Downer","Australian Capital Territory","ACT","CANBERRA","","","","-35.2441","149.1436","4","QVUtQUNULURvd25lci0yNjAy","{  ""coordinates"": [    149.1436,    -35.2441  ],  ""type"": ""point""}"
"AU","2603","Forrest","Australian Capital Territory","ACT","CANBERRA","","","","-35.3165","149.1281","4","QVUtQUNULUZvcnJlc3QtMjYwMw==","{  ""coordinates"": [    149.1281,    -35.3165  ],  ""type"": ""point""}"
"AU","2603","Griffith","Australian Capital Territory","ACT","CANBERRA","","","","-35.3229","149.1386","4","QVUtQUNULUdyaWZmaXRoLTI2MDM=","{  ""coordinates"": [    149.1386,    -35.3229  ],  ""type"": ""point""}"
"AU","2603","Manuka","Australian Capital Territory","ACT","CANBERRA","","","","-35.3126","149.1278","3","QVUtQUNULU1hbnVrYS0yNjAz","{  ""coordinates"": [    149.1278,    -35.3126  ],  ""type"": ""point""}"
"AU","2603","Red Hill","Australian Capital Territory","ACT","CANBERRA","","","","-35.3389","149.1291","4","QVUtQUNULVJlZCBIaWxsLTI2MDM=","{  ""coordinates"": [    149.1291,    -35.3389  ],  ""type"": ""point""}"
"AU","2604","Narrabundah","Australian Capital Territory","ACT","CANBERRA","","","","-35.3344","149.1473","4","QVUtQUNULU5hcnJhYnVuZGFoLTI2MDQ=","{  ""coordinates"": [    149.1473,    -35.3344  ],  ""type"": ""point""}"
"AU","2604","Kingston","Australian Capital Territory","ACT","CANBERRA","","","","-35.3149","149.1448","4","QVUtQUNULUtpbmdzdG9uLTI2MDQ=","{  ""coordinates"": [    149.1448,    -35.3149  ],  ""type"": ""point""}"
"AU","2604","Causeway","Australian Capital Territory","ACT","CANBERRA","","","","-35.3151","149.1512","4","QVUtQUNULUNhdXNld2F5LTI2MDQ=","{  ""coordinates"": [    149.1512,    -35.3151  ],  ""type"": ""point""}"
"AU","2605","Hughes","Australian Capital Territory","ACT","CANBERRA","","","","-35.3335","149.0951","4","QVUtQUNULUh1Z2hlcy0yNjA1","{  ""coordinates"": [    149.0951,    -35.3335  ],  ""type"": ""point""}"
"AU","2605","Curtin","Australian Capital Territory","ACT","CANBERRA","","","","-35.3259","149.0793","4","QVUtQUNULUN1cnRpbi0yNjA1","{  ""coordinates"": [    149.0793,    -35.3259  ],  ""type"": ""point""}"
